log10(t),log10(S_E)
6.26951294421792,-6.08252179776616
6.27646180417325,-6.07818141697963
6.28330122870355,-6.07470993916409
6.29003461136252,-6.0704226042116
6.29666519026153,-6.06517402238869
6.30319605742049,-6.06400623094364
6.3096301674259,-6.05048335459852
6.31597034545692,-6.05862954225091
6.32221929473392,-6.05323190860503
6.32837960343874,-6.04982985732742
6.33445375115093,-6.05050107455305
6.34044411484012,-6.04362553877575
6.34635297445064,-6.04239710824583
6.35218251811136,-6.0448315458006
6.35793484700045,-6.03951928539556
6.36361197989215,-6.03178385159968
6.36921585741014,-6.03433741392238
6.3747483460101,-6.02666106362174
6.38021124171161,-6.03036809162889
6.38560627359831,-6.02525668077016
6.39093510710338,-6.0215908738144
6.39619934709574,-6.01656747176224
6.40140054078154,-6.01254513948399
6.40654018043396,-6.0167823913398
6.41161970596323,-6.00664900018197
6.41664050733828,-5.99824920874683
6.42160392686983,-6.00524957742801
6.42651126136458,-6.00145816930936
6.43136376415899,-5.99872113607345
6.43616264704076,-5.99132036563107
6.44090908206522,-5.99540864540351
6.4456042032736,-5.99093029653164
6.45024910831936,-5.98835415304353
6.45484486000851,-5.98783147661211
6.45939248775923,-5.98406911708658
6.46389298898591,-5.97946180028439
6.46834733041216,-5.9745184976032
6.47275644931721,-5.98173053792446
6.47712125471966,-5.97720534349744
6.48144262850231,-5.97243169773565
6.48572142648158,-5.9651272991934
6.48995847942483,-5.96727404519924
6.49415459401844,-5.95920267577379
6.4983105537896,-5.96148622522982
6.50242711998443,-5.96363348514883
6.50650503240487,-5.96188383635754
6.51054501020661,-5.94424111761654
6.51454775266029,-5.95201228935831
6.51851393987789,-5.94619344527976
6.52244423350632,-5.94888683266546
6.52633927738984,-5.94675050174789
6.53019969820308,-5.94402787355288
6.53402610605614,-5.94203635984649
6.53781909507327,-5.94302223351069
6.54157924394658,-5.93727770713648
6.54530711646582,-5.93808767719516
6.54900326202579,-5.93455015782075
6.55266821611219,-5.93513229525571
6.55630250076729,-5.92701684818498
